Descrition,(Quantity,Unit,Unit Price,Amount,GST
AIR TERMINAL FEE,"9,400",Kilogram HKD,1.72 HKD,"16,168.00",,
CFS CHARGE,"9,400",Kilogram HKD,0.95  HKD,"8,930.00",,
AWB FEE,1,Bill of Lading HKD,20.00  HKD,20.00,,
CUSTOMS CLEARANCE,1,xX HKD,. 250.00  HKD,250.00,,
HANDLING FEE,1,X HKD,- 350.00  HKD,350.00,,
LOCAL DELIVERY : HKD 200   PLT X 43,43,Pallet(s) HKD,. 200.00  HKD,"8,600.00",,
AIRPORT BRIDGE TOLL,2,Xx HKD,50.00  HKD,100.00,,
WAREHOUSE PARKING REGISTRATION FEE,1,File HKD,"1,100.00 HKD","1,100.00",,
2 DAYS O.T. STORAGE FOR 10 PALLETS   1025 KGS,"2,050",Kilogram HKD,2.40  HKD,"4,920.00",,
,,,Total HKD,"40,438.00",,
Remarks MAWB# 114-1514 5830 43,PLTS  ,9400 KGS ( VOL WT ) MUMM,ADV MAT,,,
3B ES BR ET AC ED (AA) BRS,a),,,,,
JF Hillebrand HongKong Limited,,,,,,
MNS EUR AES,Se,Manish A deat 7A PR Ae ,,,,
",",,",",,,,
RESIS aa A,,MPAA ERRTIRA DARI ARS BSC RK,IB AL RT,,,
",",,,,,,
Bank accounts,,,,,,
Beneficiary name :  JF,Hillebrand,HongKong Ltd,,,,
Bank Name : ,Hongkong and,Shanghai Banking,Cororation Ltd,,,
SWIFT : ,HSBCHKHH,,,,,
Account number : ,741044010001,(HKD),,,,
,741044010201,(USD),,,,
