Number,Reference,Date,Service,inKg ofitems,Charge,Descrition,Charges
7731084395,11829020,"01 11 2019 MEL, MELBOURNE TYO, TOKYO",,37.50W 3,"7,189.00",,,"7,189.00"
,,WORKWEAR GROUP PERNOD RICARD JAPAN,WORLDWIDE,,,DUTIES TAXES PAID,,150.00 150.00
,,Tristian Andrews Madoka-san Nishiok,nondoc,,,FUEL SURCHARGE,,"1,276.05 1,276.05"
,,120 Link Road 34 F Sumitomo Fudosan,,,,,,
,,"AU-3045, MELBOURNE AIRPORT JP-112-0004, TOKYO-TO BUNKYO KU",,,,,,
,,vIC TOKYO,,,,,,
Service Sub,Total EXPRESS,WORLDWIDE nondoc,,37.50 3,"7,189.00",,,"1,426.05 8,615.05"
,-,,,,,,,
,,lidabashi First Tower,,,,,,
,,A,Customer Actual,Weight V ,Customer Volumetric Weight B  DHL,Actual Weight W,, DHL Volumetric Weight M 
,,,EXPRESS,,,,,
,,,Total :  HKD : ,37.50 3,"7,189.00",,,"1,426.05 8,615.05"
,,,,,,,,Amount
,,,,,,,,"8,615.05"
,,,,,,,,Mixed
