DESCRIPTION,TY : ,UNIT,AMOUNT,(HK
,,,,,
Re :  Ballantines counter at Pu Dong Airort SH S2,,,,,
Tentative comletion date : July 2019,,,,,
Total area :  N.A.,,,,,
A  Preliminary,,,,,
1. Drawing submission,,,,,
: Backwall 1,job,1170 $,,,"1,170.00"
,,sub total :  $,,,"1,170.00"
re P  i,,,,,
Location :  S2,,,,,
1a. Wall bay roduction (Defend & Attack),1LM,35778 $,,,"35,778.0"
size :  1000W500D2350H,,,,,"35,778.0"
1b. Vislay with installation 1,job,$,,,"38,115.00"
2. Lighting fee,1LM,16380 $,,,"16,380.0"
3 Shelf talker budget 3 size :  400,cs,1209 $$,,,"3,627.00"
4. Glorifier 2,jobs,5200 $,,,"10,400.00"
size :  230W205D318H,,$,,,"10,400.00"
,,sub total :  $,,,"104,300.00"
I ion,,,,,
,,,,,
,,,,,
"1. Site measurement 1 2. Labour to install 1 3. Truck delivery from DG to SH 1 4. Permit alication for Airort 1 Remarks :  Dislay items, glorifier and visual outut rovide by client. ss Terms & Conditions 1. Payment within 30 days nter f 3% erm will bh don Over :  ccounts. a E.& O.E, FUSION",job job job job reared by en DESIGN,1720 $ $ $ $ sub total :  $ Total :  $ INTERNATIONAL,aa LIMITED,,"HAP GE 1,720.00 10,530.00 11,500.00 500.00 24,250.00 eeeeeeeeeeeeeeSSSSSSSSSSSSSSSSSSSSSSSSSMMMMMFFFFeeee 129,720.00 5 26-32 Sf  SR THRAR + B ia aH ak . ME . a He  a"
